Id,PRP
0,198
1,269
2,220
3,172
4,132
5,367
6,636
7,1144
8,38
9,40
10,138
11,10
12,28
13,120
14,30
15,33
16,61
17,76
18,23
19,69
20,33
21,27
22,77
23,27
24,274
25,368
26,32
27,106
28,208
29,20
30,71
31,26
32,36
33,40
34,52
35,60
36,72
37,18
38,20
39,40
40,62
41,24
42,24
43,36
44,26
45,71
46,12
47,14
48,20
49,16
50,22
51,36
52,144
53,144
54,259
55,26
56,32
57,32
58,62
59,22
60,36
61,44
62,45
63,53
64,36
65,84
66,38
67,38
68,22
69,29
70,35
71,134
72,66
73,189
74,132
75,237
76,465
77,277
78,185
79,6
80,24
81,45
82,7
83,13
84,16
85,32
86,32
87,11
88,11
89,18
90,22
91,37
92,40
93,34
94,50
95,76
96,24
97,66
98,100
99,133
100,18
101,45
102,56
103,70
104,80
105,136
106,16
107,26
108,32
109,65
110,30
111,40
112,62
113,60
114,50
115,66
116,86
117,93
118,111
119,143
120,214
121,277
122,370
123,510
124,326
125,8
126,17
127,21
128,24
129,34
130,42
131,46
132,51
133,116
134,100
135,140
136,212
137,30
138,41
139,25
140,50
141,50
142,32
143,38
144,60
145,109
146,6
147,11
148,22
149,58
150,113
151,248
152,405
153,70
154,114
155,208
156,307
157,397
158,915
159,1150
160,12
161,14
162,18
163,21
164,42
165,52
166,67
167,45
