Mean.Layer.1,Mean.Layer.2,Mean.Layer.3,Standard.deviation.Layer.1,Standard.deviation.Layer.2,Standard.deviation.Layer.3,Skewness.Layer.1,Skewness.Layer.2,Skewness.Layer.3,Ratio.Layer.1,Ratio.Layer.2,Ratio.Layer.3,Min..pixel.value.Layer.1,Min..pixel.value.Layer.2,Min..pixel.value.Layer.3,Max..pixel.value.Layer.1,Max..pixel.value.Layer.2,Max..pixel.value.Layer.3,Mean.of.inner.border.Layer.1,Mean.of.inner.border.Layer.2,Mean.of.inner.border.Layer.3,Mean.of.outer.border.Layer.1,Mean.of.outer.border.Layer.2,Mean.of.outer.border.Layer.3,Border.Contrast.Layer.1,Border.Contrast.Layer.2,Border.Contrast.Layer.3,Contrast.to.neighbor.pixels.Layer.1..3.,Contrast.to.neighbor.pixels.Layer.2..3.,Contrast.to.neighbor.pixels.Layer.3..3.,Edge.Contrast.of.neighbor.pixels..Prototype..Layer.1..3.,Edge.Contrast.of.neighbor.pixels..Prototype..Layer.2..3.,Edge.Contrast.of.neighbor.pixels..Prototype..Layer.3..3.,StdDev..to.neighbor.pixels.Layer.1..3.,StdDev..to.neighbor.pixels.Layer.2..3.,StdDev..to.neighbor.pixels.Layer.3..3.,Circular.Mean.Layer.1..R1..User..3..R2..Same...R1...border.,Circular.Mean.Layer.2..R1..User..3..R2..Same...R1...border.,Circular.Mean.Layer.3..R1..User..3..R2..Same...R1...border.,Circular.StdDev.Layer.1..R1..User..3..R2..Same...R1...border.,Circular.StdDev.Layer.2..R1..User..3..R2..Same...R1...border.,Circular.StdDev.Layer.3..R1..User..3..R2..Same...R1...border.,Circular.StdDev.Mean.Layer.1..R1..User..3..R2..Same...R1...border.,Circular.StdDev.Mean.Layer.2..R1..User..3..R2..Same...R1...border.,Circular.StdDev.Mean.Layer.3..R1..User..3..R2..Same...R1...border.,Mean.Diff..to.neighbors.Layer.1..0.,Mean.Diff..to.neighbors.Layer.2..0.,Mean.Diff..to.neighbors.Layer.3..0.,Mean.Diff..to.neighbors..abs..Layer.1..0.,Mean.Diff..to.neighbors..abs..Layer.2..0.,Mean.Diff..to.neighbors..abs..Layer.3..0.,Rel..border.to.brighter.objects.Layer.1,Rel..border.to.brighter.objects.Layer.2,Rel..border.to.brighter.objects.Layer.3,Mean.diff..to.scene.Layer.1,Mean.diff..to.scene.Layer.2,Mean.diff..to.scene.Layer.3,Ratio.to.scene.Layer.1,Ratio.to.scene.Layer.2,Ratio.to.scene.Layer.3,HSI.Transformation.Hue.R.Layer.1.G.Layer.2.B.Layer.3.,Area..Pxl.,Border.length..Pxl.,Length..mu_m.,Length.Width,Number.of.pixels,Rel..Border.to.Image.Border,Volume..Pxl.,Width..mu_m.,Asymmetry,Border.index,Compactness,Density,Elliptic.Fit,Radius.of.largest.enclosed.ellipse,Radius.of.smallest.enclosing.ellipse,Rectangular.Fit,Roundness,Shape.index,Area..excluding.inner.polygons...Pxl.,Area..including.inner.polygons...Pxl.,Average.length.of.edges..polygon...Pxl.,Compactness..polygon.,Length.of.longest.edge..polygon...Pxl.,Number.of.edges..polygon.,Number.of.inner.objects..polygon.,Perimeter..polygon...Pxl.,Stddev.of.length.of.edges..polygon...Pxl.,Mean.of.sub.objects..stddev.Layer.1..1.,Area.of.sub.objects..mean..1...Pxl.,Area.of.sub.objects..stddev..1...Pxl.,Density.of.sub.objects..mean..1.,Density.of.sub.objects..stddev..1.,Asymmetry.of.sub.objects..mean..1.,Asymmetry.of.sub.objects..stddev..1.,Direction.of.sub.objects..mean..1.,Direction.of.sub.objects..stddev..1.,GLCM.Homogeneity..quick.8.11..Layer.1..all.dir..,GLCM.Contrast..quick.8.11..Layer.1..all.dir..,GLCM.Dissimilarity..quick.8.11..Layer.1..all.dir..,GLCM.Entropy..quick.8.11..Layer.1..all.dir..,GLCM.Ang..2nd.moment..quick.8.11..Layer.1..all.dir..,GLCM.Mean..quick.8.11..Layer.1..all.dir..,GLCM.StdDev..quick.8.11..Layer.1..all.dir..,GLCM.Correlation..quick.8.11..Layer.1..all.dir..,Number.of.sub.objects.Nucleus..1.,Number.of.sub.objects.Dark..1.,Area.of.sub.objects.Nucleus..1...Pxl.,Area.of.sub.objects.Dark..1...Pxl.,Rel..area.of.sub.objects.Nucleus..1.,Rel..area.of.sub.objects.Dark..1.,Rel..area.of.sub.objects.unclassified..1.
125.858498,30.964032,164.498814,43.494697,31.765953,32.182953,0.140945,0.989706,0.584988,0.391690,0.096365,0.511945,16.000000,0.000000,91.000000,255.000000,157.000000,255.000000,156.874252,53.580838,174.311377,194.190058,92.096491,207.570175,-33.654348,-34.952174,-30.645652,-689.403700,-2025.468361,-259.230525,99.890308,80.912061,59.001760,27.114068,50.347563,27.403182,114.875000,40.687500,163.812500,47.452443,38.763254,42.332344,0.413079,0.952707,0.258419,-84.241540,-52.621240,-35.689924,84.241540,52.621240,35.689924,1.000000,1.000000,1.000000,-84.209672,-86.743256,-45.065331,0.599132,0.263060,0.784957,0.785106,2530.000000,460.000000,128983593.610000,3.727342,2530.000000,0.000000,2530.000000,34604706.964000,0.887779,1.840000,1.764205,1.510414,0.644269,0.375580,1.563740,0.799976,1.188159,2.286323,2521.500000,2521.500000,6.796533,0.226754,21.095023,55.000000,0.000000,373.809288,3.975371,23.902408,421.666667,211.336751,1.662266,0.267266,0.704490,0.184893,80.821431,33.833643,0.049296,752.284305,20.379479,9.134358,0.000134,127.135387,44.728844,0.901106,1.000000,5.000000,136.000000,2394.000000,0.053755,0.946245,0.000000
96.203484,25.650567,142.116917,53.263910,40.001324,45.085541,0.502491,2.187606,0.194728,0.364447,0.097172,0.538381,0.000000,0.000000,22.000000,255.000000,243.000000,255.000000,131.423636,54.554545,158.858182,186.369565,110.472826,207.166667,-49.203857,-49.486226,-44.425620,-1196.276687,-3159.813224,-451.144336,131.043311,110.342910,90.762888,36.559533,76.111455,37.903411,75.125000,7.187500,136.812500,18.023856,9.773809,21.459901,0.239918,1.359834,0.156856,-113.880514,-102.003670,-71.448008,113.880514,102.003670,71.448008,1.000000,1.000000,1.000000,-113.864686,-92.056721,-67.447228,0.457963,0.217918,0.678155,0.767630,3789.000000,726.000000,160074609.550000,2.866332,3789.000000,0.000000,3789.000000,55846498.890000,0.857582,2.556338,2.359358,1.448249,0.423067,0.217288,1.920877,0.671154,1.703589,2.948590,3789.000000,3789.000000,6.305764,0.127263,20.099751,97.000000,0.000000,611.659128,3.551733,42.676083,189.450000,77.977865,1.675855,0.285920,0.537537,0.220374,76.299904,36.451201,0.050457,1143.876056,23.577752,9.400286,0.000122,98.430668,55.054185,0.900723,8.000000,12.000000,1947.000000,1842.000000,0.513856,0.486144,0.000000
119.004390,34.141564,162.757202,53.132611,50.290571,38.863597,0.552590,2.202437,0.433075,0.376712,0.108076,0.515212,0.000000,0.000000,37.000000,255.000000,253.000000,255.000000,132.803279,38.808743,160.808743,174.972900,79.902439,197.726287,-38.621569,-37.503922,-34.756863,-731.617421,-2026.484770,-269.472046,106.027195,88.307501,65.459825,33.012623,58.196265,31.881373,154.625000,85.312500,179.062500,35.741913,38.577388,29.500993,0.231152,0.452189,0.164752,-101.549445,-97.962384,-56.733793,101.549445,97.962384,56.733793,1.000000,1.000000,1.000000,-91.063780,-83.565724,-46.806943,0.566504,0.290055,0.776646,0.776636,3645.000000,510.000000,124220742.570000,2.302187,3645.000000,0.000000,3645.000000,53957715.718000,0.692480,1.931818,1.838866,1.953313,0.723457,0.535857,1.308161,0.807707,0.772304,2.111842,3653.500000,3653.500000,5.803348,0.262957,17.088007,72.000000,0.000000,417.841020,3.261218,42.038967,280.384615,226.826446,1.575326,0.391008,0.635245,0.272145,56.681426,26.632900,0.058140,675.647037,18.620013,9.214481,0.000174,119.336739,52.845501,0.937567,3.000000,9.000000,1139.000000,2237.000000,0.312483,0.613717,0.073800
127.335236,32.264460,170.291857,45.569112,29.347426,32.034223,-0.201071,0.600500,0.048004,0.385991,0.097803,0.516206,3.000000,0.000000,85.000000,235.000000,139.000000,255.000000,154.739130,48.549407,179.418972,184.271654,78.007874,204.952756,-27.746875,-27.896875,-25.275000,-579.130438,-1974.957591,-231.408765,98.900150,82.278091,57.994923,28.281533,40.700966,23.340022,98.812500,35.000000,181.000000,48.078346,26.554190,48.781400,0.486561,0.758691,0.269510,-80.142119,-93.669801,-43.744881,80.142119,93.669801,43.744881,1.000000,1.000000,1.000000,-82.732934,-85.442828,-39.272288,0.606161,0.274108,0.812600,0.781464,2628.000000,320.000000,84330623.668000,1.690002,2628.000000,0.000000,2628.000000,49899717.224000,0.604973,1.495327,1.601246,2.034373,0.686454,0.504947,1.266139,0.842473,0.761192,1.560549,2621.000000,2621.000000,7.387258,0.440853,25.019992,37.000000,0.000000,273.328562,4.815632,32.642480,375.428571,229.616984,1.783954,0.283884,0.526340,0.209023,179.012082,32.967683,0.052706,550.109445,17.609733,9.038160,0.000150,127.952875,46.134400,0.933150,2.000000,5.000000,1322.000000,1306.000000,0.503044,0.496956,0.000000
179.483106,66.308868,185.935024,41.050604,51.946844,37.133099,-0.273187,0.951550,-0.145970,0.415733,0.153590,0.430677,31.000000,0.000000,43.000000,255.000000,248.000000,255.000000,176.776573,82.953362,183.701735,204.484223,113.491505,209.803398,-28.022395,-30.979552,-27.100292,-139.444615,-526.343698,-112.898094,71.532003,96.118088,59.354993,37.047158,64.316666,33.121147,216.125000,106.437500,220.125000,18.841029,20.919395,19.940145,0.087177,0.196542,0.090586,-33.024997,-69.236029,-32.343274,33.024997,69.236029,32.343274,1.000000,1.000000,1.000000,-30.585064,-51.398420,-23.629121,0.854404,0.563337,0.887246,0.824344,9619.000000,1130.000000,235513560.300000,2.121963,9619.000000,0.091150,9619.000000,110988538.630000,0.406872,2.677725,2.717466,1.828153,0.297432,0.404294,1.940013,0.619130,1.535719,2.880405,9548.000000,9548.000000,7.029670,0.120410,103.000000,142.000000,0.000000,998.213100,9.446712,33.687331,253.131579,205.606314,1.332513,0.342047,0.770556,0.215848,104.373741,35.690861,0.060465,675.189988,18.445393,9.310110,0.000155,179.602240,40.831210,0.893032,5.000000,29.000000,1779.000000,5905.000000,0.184946,0.613889,0.201164
209.375477,130.886173,216.501910,39.985143,60.839822,35.787536,-0.932968,-0.056489,-1.006943,0.376058,0.235084,0.388858,57.000000,0.000000,66.000000,255.000000,251.000000,255.000000,211.547445,115.901460,219.651460,164.713115,57.625683,174.939891,40.100000,43.874419,39.155814,110.936266,409.705198,130.854108,70.890540,128.419739,70.509564,44.558811,61.652688,41.219750,197.812500,135.562500,199.250000,58.867668,55.812150,56.508296,0.297593,0.411708,0.283605,22.494341,72.049113,33.951962,22.494341,72.049113,33.951962,0.000000,0.000000,0.000000,-0.692693,13.178885,6.937765,0.996703,1.111963,1.033106,0.819460,5236.000000,616.000000,231000000.000000,5.500000,5236.000000,0.301948,5236.000000,42000000.000000,0.908360,1.532338,1.852941,1.484189,0.538197,0.548215,1.688171,0.765162,1.139956,2.128241,5161.000000,5161.000000,10.317440,0.194272,188.002660,56.000000,0.000000,577.776655,25.039178,22.880345,523.600000,959.828026,1.439135,0.203565,0.675805,0.216705,90.679431,16.426808,0.090567,735.280100,18.633402,8.664931,0.001446,206.999735,40.347508,0.879867,2.000000,7.000000,452.000000,1428.000000,0.086325,0.272727,0.640947
189.213868,51.213868,179.140836,34.475377,39.415415,32.118551,-0.772630,0.969103,-0.064608,0.450972,0.122063,0.426964,15.000000,0.000000,41.000000,255.000000,204.000000,255.000000,178.633570,63.330969,177.771868,214.015228,108.557107,214.357868,-34.551363,-39.348008,-34.264151,-93.511982,-1272.281133,-158.694842,76.957674,118.641409,77.379774,42.356598,70.197398,40.875787,192.187500,109.937500,203.125000,54.432549,68.455705,50.257928,0.283226,0.622678,0.247424,-19.580451,-74.804422,-33.055899,20.036837,74.804422,33.491250,0.952830,1.000000,0.952830,-20.854302,-66.493420,-30.423309,0.900726,0.435095,0.854826,0.845499,6504.000000,1018.000000,258898377.930000,3.596736,6504.000000,0.062868,6504.000000,71981481.362000,0.848819,2.596939,2.865297,1.425870,0.465560,0.376790,2.158416,0.739546,1.781626,3.155713,6487.500000,6487.500000,7.777301,0.096795,64.000000,118.000000,0.000000,917.721483,8.228886,18.560396,309.714286,418.835136,1.355777,0.306553,0.786259,0.165646,88.458985,23.707639,0.071335,589.202728,16.767741,8.946042,0.000226,189.799346,34.208377,0.865014,2.000000,18.000000,564.000000,3825.000000,0.086716,0.588100,0.325185
184.376177,60.970997,174.526113,39.757264,53.478779,38.395823,-0.662109,1.150610,-0.050336,0.439123,0.145213,0.415664,15.000000,0.000000,37.000000,255.000000,249.000000,255.000000,181.592308,86.295726,179.015385,218.238462,138.854808,217.132692,-35.976866,-42.407463,-35.968657,-72.956405,-870.121130,-150.056747,96.429701,127.040361,85.791670,55.624730,78.531896,47.415511,190.375000,82.000000,181.500000,52.637766,72.209764,52.359335,0.276495,0.880607,0.288481,-36.255207,-94.277391,-47.416766,36.776618,94.932721,47.416766,0.914925,0.966418,1.000000,-25.691993,-56.736291,-35.038032,0.877697,0.517988,0.832805,0.846636,9344.000000,1478.000000,329819933.600000,3.941950,9344.000000,0.093369,9344.000000,83669225.710000,0.938582,3.066390,2.953315,1.028394,0.091610,0.106462,2.039885,0.575499,1.933423,3.822505,9357.500000,9357.500000,7.748585,0.071936,138.000000,165.000000,0.000000,1278.516445,11.133696,28.696698,252.540541,145.961601,1.444945,0.335889,0.713094,0.199197,74.249418,30.748562,0.069418,745.832771,18.390796,9.171702,0.000218,184.788322,39.567705,0.872815,4.000000,28.000000,1271.000000,5773.000000,0.136023,0.617830,0.246147
223.148412,166.004682,225.759568,40.058439,59.214502,35.547535,-2.119328,-0.467527,-2.009637,0.362894,0.269965,0.367141,15.000000,0.000000,34.000000,255.000000,255.000000,255.000000,219.796384,149.654615,221.387250,198.267225,124.797020,198.527002,20.290185,22.554765,21.248222,69.137194,291.399944,97.349327,61.583539,163.168581,71.026527,41.365085,83.474082,41.851949,212.125000,166.375000,229.812500,26.906958,29.036346,23.444666,0.126845,0.174523,0.102016,9.847323,42.693409,18.271374,24.172406,82.438767,32.656212,0.290185,0.290185,0.290185,13.080242,48.297394,16.195423,1.062267,1.410318,1.077281,0.826050,4912.000000,1406.000000,186713903.220000,1.497628,4912.000000,0.000000,4912.000000,124673076.740000,0.604754,4.881944,4.739047,1.136995,0.000000,0.017088,2.592239,0.225062,2.575151,5.015291,4923.500000,4923.500000,6.486663,0.043906,23.537205,183.000000,0.000000,1187.059242,4.090962,18.900137,982.400000,824.628789,1.497213,0.329283,0.624053,0.172757,18.717563,31.743531,0.117325,911.273732,18.996305,8.036929,0.003953,219.793100,42.469481,0.864512,0.000000,2.000000,0.000000,222.000000,0.000000,0.045195,0.954805
198.932915,123.748903,207.184163,37.985378,57.872203,32.841758,-0.915721,-0.210554,-0.694899,0.375440,0.233548,0.391012,46.000000,0.000000,75.000000,255.000000,255.000000,255.000000,209.077259,149.704082,216.037901,216.910377,163.051887,222.753145,-4.252404,-6.438702,-3.633413,-47.179240,-190.986765,-50.036706,82.715313,168.429413,71.007925,45.610330,91.336476,38.441137,212.812500,105.875000,207.187500,13.671223,15.095012,13.906917,0.064241,0.142574,0.067122,-22.130821,-52.130808,-20.784976,30.436977,76.039219,27.196667,0.562500,0.562500,0.562500,-11.135255,6.041615,-2.379982,0.946992,1.051327,0.988643,0.816851,13222.000000,884.000000,253317471.750000,2.086652,13222.000000,0.058824,13222.000000,121399025.380000,0.685765,1.789474,2.325858,1.890646,0.650734,0.571569,1.758193,0.783993,1.186623,1.921957,13231.000000,13231.000000,6.832880,0.299729,52.000000,109.000000,0.000000,744.783873,6.312085,27.110189,440.733333,1216.381517,1.454591,0.311239,0.709813,0.198660,111.993835,36.008667,0.073983,464.645876,15.337449,9.026187,0.000229,198.588498,37.977276,0.915925,7.000000,20.000000,1310.000000,4346.000000,0.099077,0.328695,0.572228
